name,star_name,star_age,star_age_error_min,star_age_error_max,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,detection_type,mass_measurement_type,radius_measurement_type,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_teff,star_teff_error_min,star_teff_error_max
HR 810 b,HR 810,2.72,,,6.2,-0.5,0.5,1.14,,,302.79999,-2.3,2.3,0.92,-0.02,0.02,0.14,-0.13,0.13,87.0,-6.0,6.0,1999.0,309.0,-5.0,5.0,2451492.8,-4.0,4.0,2451908.6,-3.6,3.7,,,,57.1,-5.2,5.2,329.573705035699,-4.79421911088405,4.79421911088405,Radial Velocity,Mass,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,40.6417178,-50.7993484,5.4,4.78,4.75,4.323,4.138,17.3181,-0.0162,0.0162,0.16,,,1.34,-0.13,0.13,1.13,-0.02,0.02,G0V,6167.0,-24.0,24.0
HR 858 b,HR 858,2.0,-0.6,0.6,0.0111695491083023,-0.00302049778703387,0.002957570749804,0.178785212824927,-0.00419306636864849,0.00401463801253579,3.585287,-1.2e-05,9e-06,0.04888,-0.00066,0.00066,0.0,,,85.98,-0.25,0.26,2019.0,90.0,,,,,,2458409.19,-0.0012,0.0011,0.587,-0.028,0.025,1.3,-0.35,0.34,1552.0,-23.0,22.0,Transit,Mass,<a refstr=BONFANTI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A..90B/abstract target=ref>Bonfanti et al. 2025</a>,42.9849779,-30.8140609,6.38,,5.473,5.225,5.149,31.964,-0.072,0.0722,0.025,-0.05,0.05,1.204,-0.052,0.052,1.258,-0.019,0.019,F6 V,6354.0,-70.0,70.0
HR 858 c,HR 858,2.0,-0.6,0.6,0.0119561370736757,,,0.176554858373518,-0.00454992308087389,0.00481756561504294,5.973865,-1.6e-05,1.5e-05,0.0687,-0.00092,0.00092,0.0,,,86.59,-0.14,0.15,2019.0,90.0,,,,,,2458415.63344,-0.00093,0.00099,0.701,-0.019,0.017,1.2,,,1309.0,-19.0,19.0,Transit,Mass,<a refstr=BONFANTI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A..90B/abstract target=ref>Bonfanti et al. 2025</a>,42.9849779,-30.8140609,6.38,,5.473,5.225,5.149,31.964,-0.072,0.0722,0.025,-0.05,0.05,1.204,-0.052,0.052,1.258,-0.019,0.019,F6 V,6354.0,-70.0,70.0
HR 858 d,HR 858,2.0,-0.6,0.6,0.0223390982166047,-0.00503416297838978,0.00503416297838978,0.178517570290758,-0.00570970739560645,0.0056204932175501,11.230511,-4.5e-05,4.3e-05,0.1046,-0.0014,0.0014,0.0,,,87.72,-0.11,0.1,2019.0,90.0,,,,,,2458409.7324,-0.0025,0.0028,0.712,-0.023,0.026,1.78,-0.4,0.4,1061.0,-16.0,15.0,Transit,Mass,<a refstr=BONFANTI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A..90B/abstract target=ref>Bonfanti et al. 2025</a>,42.9849779,-30.8140609,6.38,,5.473,5.225,5.149,31.964,-0.072,0.0722,0.025,-0.05,0.05,1.204,-0.052,0.052,1.258,-0.019,0.019,F6 V,6354.0,-70.0,70.0
HR 8799 b,HR 8799,0.06,-0.03,0.1,7.0,-2.0,4.0,1.2,-0.1,0.1,170000.0,,,68.0,,,,,,30.27,-4.95,4.95,2008.0,,,,2453936.0,-2350.0,2350.0,,,,,,,,,,1200.0,,,Imaging,Mass,<a refstr=MAROIS_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref> Marois et al. 2008 </a>,346.8701486,21.1340376,5.98,,5.383,5.28,5.24,41.2441,-0.1505,0.1515,-0.47,,,1.5,-0.3,0.3,1.49338,-0.0509352,0.0493412,A5 V,7204.58,-129.543,83.8357
HR 8799 c,HR 8799,0.06,-0.03,0.1,10.0,-3.0,3.0,1.2,0.0,0.1,69000.0,,,38.0,,,0.5,,,29.43,-0.35,0.35,2008.0,,,,2396093.0,-3590.0,3590.0,,,,,,,,,,1200.0,,,Imaging,Mass,<a refstr=MAROIS_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref> Marois et al. 2008 </a>,346.8701486,21.1340376,5.98,,5.383,5.28,5.24,41.2441,-0.1505,0.1515,-0.47,,,1.5,-0.3,0.3,1.49338,-0.0509352,0.0493412,A5 V,7204.58,-129.543,83.8357
HR 8799 d,HR 8799,0.06,-0.03,0.1,10.0,-3.0,3.0,1.2,0.0,0.1,37000.0,,,24.0,,,0.6,,,38.63,-2.84,2.84,2008.0,,,,2438859.0,-566.0,566.0,,,,,,,,,,1300.0,,,Imaging,Mass,<a refstr=MAROIS_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref> Marois et al. 2008 </a>,346.8701486,21.1340376,5.98,,5.383,5.28,5.24,41.2441,-0.1505,0.1515,-0.47,,,1.5,-0.3,0.3,1.49338,-0.0509352,0.0493412,A5 V,7204.58,-129.543,83.8357
HR 8799 e,HR 8799,0.03,,,10.0,-4.0,7.0,1.17,-0.11,0.13,20815.6,-1128.62,1128.62,16.4,-1.1,2.1,0.15,-0.08,0.08,25.0,-8.0,8.0,2010.0,,,,2449940.0,-340.0,340.0,,,,,,,,,,1150.0,-50.0,50.0,Imaging,Mass,<a refstr=GRAVITY_COLLABORATION_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623L..11G/abstract target=ref>Gravity Collaboration et al. 2019</a>,346.8701486,21.1340376,5.98,,5.383,5.28,5.24,41.2441,-0.1505,0.1515,-0.5,,,1.51,-0.024,0.038,1.49338,-0.0509352,0.0493412,A5,7400.0,,
HS Psc b,HS Psc,0.133,-0.02,0.015,1.46,-0.44,0.56,1.21,,,3.986,-0.003,0.044,0.0435,-0.0017,0.0017,0.27,-0.27,0.21,,,,2024.0,176.25,-102.74,101.88,2458486.71,-0.91,1.46,2458486.422,-0.523,0.429,,,,268.0,-92.0,91.0,783.438189165693,-49.8143003957094,49.8143003957094,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,24.347379,26.9528036,10.769,,8.429,7.784,7.642,37.6604,-0.0989,0.0995,-0.05,-0.09,0.09,0.69,-0.07,0.07,0.65,-0.07,0.07,K7 V,4203.0,-116.0,116.0
IC 4651 9122 b,IC 4651 9122,1.14,,,6.3,-0.5,0.5,1.14,,,734.0,-8.1,8.1,2.038,-0.039,0.039,0.18,-0.09,0.09,,,,2018.0,118.5,-60.7,60.7,2454605.6,-175.0,175.0,,,,,,,89.5,-6.8,6.8,513.037913112985,-15.619904148983,15.619904148983,Radial Velocity,Msini,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,261.2086139,-49.9489317,10.909,,8.801,8.164,8.054,859.324,-31.989,31.989,0.12,,,2.1,,,10.267424,-0.680919,0.466403,,4740.1,-35.1484,35.1484
