Model,N,Age_coef,Age_SE,Age_p,Age2_coef,Age2_SE,Age2_p,Mass_coef,Mass_SE,Mass_p,R2,Adjusted_R2,RMSE
Age + Age^2,1274,-0.032644540952495624,0.005574774424499819,6.3331128500861855e-09,0.004689523593816406,0.0012031797310710834,0.00010326266242667574,,,,0.05337410537723086,0.05188452883179784,0.39875609763317993
Age + Age^2 + Mass,1274,0.0019594215839633,0.0028967692331014674,0.4989244285860914,0.00020355998288233433,0.000651944135812597,0.754923278183581,0.31452141439574804,0.009470269681230688,3.1630550748017915e-166,0.6614193901139441,0.660619593397678,0.23847847647283896
