name,star_name,star_age,star_age_error_min,star_age_error_max,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-1485 b,Kepler-1485,2.51,-0.949,1.33,Confirmed,,,,,,,0.131,0.012,0.021,19.9157725,0.0001284,0.0001284,,,,,,,,,,,2016,2021-02-05,,,,,,,2454972.37298,0.00472,0.00472,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19522290+4444134 b, K03384.02, KIC 8644365 b, KOI-3384 b, KOI-3384.02, WISE J195222.90+444413.4 b",,298.095423,44.737057,,,12.022,11.757,11.724,550.0,,,0.02,0.083,0.08,1.11,0.04,0.04,1.12,0.06,0.07,,6087.0,89.44,92.28,,,"2MASS J19522290+4444134, KIC 8644365, KOI-3384, WISE J195222.90+444413.4"
Kepler-1486 b,Kepler-1486,3.55,-1.83,2.09,Confirmed,,,,,,,0.207,0.026,0.052,54.6495759,0.0009825,0.0009825,,,,,,,,,,,2016,2021-02-05,,,,,,,2455009.0299,0.0154,0.0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19222169+4526229 b, K03393.01, KIC 9085563 b, KOI-3393 b, KOI-3393.01, WISE J192221.72+452623.3 b",,290.590382,45.439713,,,14.198,13.862,13.896,1465.0,,,0.06,0.141,0.138,1.08,0.07,0.09,1.12,0.12,0.27,,5965.0,160.68,147.55,,,"2MASS J19222169+4526229, KIC 9085563, KOI-3393, WISE J192221.72+452623.3"
Kepler-1487 b,Kepler-1487,1.95,0.474,0.705,Confirmed,,,,,,,0.4505,0.157,0.0776,7.31945294,6.16e-05,6.16e-05,0.0898,,,0.0,,,89.44,,,,2015,2025-11-03,,,,,,,2454970.21851,0.00567,0.00567,,,,,,,,,,0.112,0.112,0.342,,,,,,,1682.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"KIC 3561464 b, WISE J194159.53+383840.1 b, TIC 184015844 b, KOI-3398 b, KOI-3398.01, 2MASS J19415954+3838402 b",,295.498108,38.644501,13.6,,12.556,12.311,12.289,1014.62,18.196,18.86,0.04,0.153,0.131,1.29,,,1.54,,,F6IV-V,6408.0,122.0,122.0,,,"KIC 3561464, WISE J194159.53+383840.1, KOI-3398, 2MASS J19415954+3838402"
Kepler-1487 c,Kepler-1487,1.95,0.474,0.705,Confirmed,,,,,,,0.7992,,,35.79949951,,,0.2588,,,0.0,,,89.83,,,,2015,2025-11-03,,,,,,,,,,2454977.874,2454832.9885,2454833.0115,,,,,,,0.043,0.043,0.402,,,,,,,991.0,,,,,,,,,Announced on a website,Primary Transit,,,"KOI-3398 c, KOI-3398.02, KIC 3561464 c, TIC 184015844 c, 2MASS J19415954+3838402 c, WISE J194159.53+383840.1 c",,295.498108,38.644501,13.6,,12.556,12.311,12.289,1014.62,18.196,18.86,0.04,0.153,0.131,1.29,,,1.54,,,F6IV-V,6408.0,122.0,122.0,,,"KIC 3561464, WISE J194159.53+383840.1, KOI-3398, 2MASS J19415954+3838402"
Kepler-1488 b,Kepler-1488,6.92,-2.36,1.3,Confirmed,,,,,,,0.166,0.033,0.037,39.8189932,0.0002907,0.0002907,,,,,,,,,,,2016,2021-02-05,,,,,,,2454999.64673,0.00626,0.00626,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19063514+4956160 b, K03403.01, KIC 11754430 b, KOI-3403 b, KOI-3403.01, WISE J190635.13+495615.9 b",,286.646417,49.937778,13.146,,12.012,11.694,11.638,905.825,11.539,11.645,0.0432,0.0198,0.0198,1.03,0.144,0.102,1.9769,0.093,0.0844,G2IV,5757.09,145.79,68.131,,,"2MASS J19063514+4956160, KIC 11754430, KOI-3403, WISE J190635.13+495615.9"
Kepler-1488 c,Kepler-1488,6.92,-2.36,1.3,Confirmed,,,,,,,0.14729,,,6.158269882,,,0.0658,,,0.0,,,84.39,,,,2017,2024-06-10,,,,,,,,,,2454968.497,0.0144,0.0144,,,,,,,0.595,0.464,0.042,,,,,,,1212.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"KOI-3403 c, KOI-3403.02",,286.646417,49.937778,13.146,,12.012,11.694,11.638,905.825,11.539,11.645,0.0432,0.0198,0.0198,1.03,0.144,0.102,1.9769,0.093,0.0844,G2IV,5757.09,145.79,68.131,,,"2MASS J19063514+4956160, KIC 11754430, KOI-3403, WISE J190635.13+495615.9"
Kepler-1489 b,Kepler-1489,4.07,2.43,4.94,Confirmed,,,,,,,0.158,0.016,0.021,82.294751,0.001799,0.001799,,,,,,,,,,,2016,2021-02-05,,,,,,,2455045.0073,0.0189,0.0189,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18451099+4427554 b, K03404.01, KIC 8409295 b, KOI-3404 b, KOI-3404.01, WISE J184510.99+442755.4 b",,281.295831,44.465405,,,13.677,13.286,13.247,1283.05,34.18,36.07,-0.13,0.192,0.174,1.0,,,1.308,,,G3IV-V,5655.0,122.0,122.0,,,"KIC 8409295, WISE J184510.99+442755.4, KOI-3404, 2MASS J18451099+4427554"
Kepler-1489 c,Kepler-1489,4.07,2.43,4.94,Confirmed,,,,,,,0.0455,0.0071,0.0071,0.680741,4e-06,4e-06,0.0146,0.00226,0.00226,,,,,,,,2023,2024-10-18,,,,,,,,,,2454832.96,0.0,0.0,,,,,,,,,,,,,0.52,0.35,0.34,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"KOI-3404 c, KIC 8409295 c",,281.295831,44.465405,,,13.677,13.286,13.247,1283.05,34.18,36.07,-0.13,0.192,0.174,1.0,,,1.308,,,G3IV-V,5655.0,122.0,122.0,,,"KIC 8409295, WISE J184510.99+442755.4, KOI-3404, 2MASS J18451099+4427554"
Kepler-149 Ab,Kepler-149 A,6.31,4.0,4.53,Confirmed,,,,,,,0.3702,0.0285,0.0437,29.19899219,2.398e-05,2.398e-05,0.1815,,,0.0,,,89.95,,,,2014,2025-02-25,,,,,,,2455018.44022,0.00076,0.00076,,,,,,,,,,0.043,0.043,0.33,,,,,,,540.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"KOI-401 b, KOI-401.01, K00401.01, WISE J190324.86+382302.7 b, KIC 3217264 b, 2MASS J19032487+3823028 b",,285.853667,38.384119,,,12.694,12.274,12.184,571.034,5.715,5.715,0.38,0.03,0.03,0.93,,,1.0,,,G7V,5380.49,32.0,32.0,,,"KIC 3217264, WISE J190324.86+382302.7, KOI-401, 2MASS J19032487+3823028"
Kepler-149 Ac,Kepler-149 A,6.31,4.0,4.53,Confirmed,,,,,,,0.149,0.0116,0.017,55.3291399,0.0005174,0.0005174,0.2779,,,0.0,,,89.8,,,,2014,2025-02-25,,,,,,,2455019.32665,0.01752,0.01752,,,,,,,,,,0.209,0.209,0.246,,,,,,,436.0,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"KOI-401 c, K00401.03, KOI-401.03, KIC 3217264 c, WISE J190324.86+382302.7 c, 2MASS J19032487+3823028 c",,285.853667,38.384119,,,12.694,12.274,12.184,571.034,5.715,5.715,0.38,0.03,0.03,0.93,,,1.0,,,G7V,5380.49,32.0,32.0,,,"KIC 3217264, WISE J190324.86+382302.7, KOI-401, 2MASS J19032487+3823028"
